project,summary,description,issuetype,labels,priority,assignee,linked_issue
REQ,Customer onboarding KYC failure - sample,Customer onboarding failed during KYC verification for test account; no PII attached.,Task,kyc,High,
REQ,Transaction dispute: unexpected debit,Customer reports unexpected debit of $250 on 2026-05-20; please investigate,Task,dispute,Medium,
REQ,Fraud alert: suspicious login,Suspicious login detected from new geo-location; block and investigate,Incident,fraud,High,
REQ,Payment gateway timeout in region-3,Payments failing intermittently with timeout errors,Task,payments,High,
REQ,Data access request: transaction logs,Request for anonymized transaction logs for audit,Task,compliance,Medium,
REQ,Regulatory reporting: prepare Q2 report,Prepare Q2 regulatory report for audit team,Task,reporting,Low,
REQ,Reconcile nightly batch failures,Nightly batch job failing on reconciliation step,Task,operations,High,
REQ,Update AML policy document,Revise AML policy to include new thresholds,Task,policy,Medium,
REQ,Core banking latency spike observed,Core DB experienced latency spike at 02:00 UTC,Incident,performance,High,
REQ,Customer profile merge error,Automated merge produced duplicate accounts in test,Task,data-quality,Medium,
REQ,Account closure request processing,Automate account closure workflow; missing step for notifications,Task,operations,Low,
REQ,Invoice processing timeout,Invoice processing queue backlog causing delays,Task,payments,Medium,
REQ,Internal query: export customer IDs,Dev task to add export endpoint for non-PII IDs,Task,internal-query,Low,
REQ,Compliance audit: sample review,Run sample compliance audit for onboarding workflows,Task,compliance,High,
REQ,Reporting dashboard discrepancy,Numbers differ between dashboards for same date range,Bug,reporting,Medium,
REQ,Investigate failed ACH transfers,Multiple ACH transfers failed with code 567,Task,payments,High,
REQ,Suspicious device fingerprinting change,Device fingerprint changed for multiple accounts,Task,fraud,High,
REQ,Monthly backup verification,Verify backups completed successfully for May 2026,Task,operations,Low,
REQ,Enhancement: add search filters to tickets,Improve ticket search by adding filters,Task,devops,Low,
REQ,Data purge request for logs older than 7 years,Implement scheduled purge for old logs (anonymize first),Task,data-retention,Low,
REQ,Automated alert: retry policy update,Update retry policy for external API calls,Task,engineering,Medium,
REQ,Customer report: missing statement,Customer cannot find monthly statement in portal,Task,customer-service,Medium,
REQ,Penetration test findings fix,Address vulnerabilities found in last pentest,Task,security,High,
REQ,On-call rotation update,Update on-call rotation schedule and notify team,Task,ops,Low,
REQ,Third-party vendor API version bump,Upgrade vendor API client and run integration tests,Task,integrations,Medium,
REQ,Feature request: add account tags,Allow tags on accounts for better grouping,Task,product,Low,
REQ,Accessibility audit for portal,Perform accessibility audit and remediate issues,Task,ux,Low,
REQ,Legal hold: preserve customer records,Apply legal hold for case 2026-045,Task,legal,High,
REQ,Customer feedback: slow mobile app,Collect logs for mobile app slowness; no PII attached,Task,customer-service,Medium,
REQ,Database index missing on transactions,Add index to improve query performance,Task,engineering,High,
REQ,Data pipeline: schema migration failure,Schema migration failed on topic payments,Task,data-pipeline,High
